codigo_uf,nome_uf,codigo_intermediaria,nome_intermediaria,codigo_imediata,nome_imediata,codigo_meso,nome_meso,codigo_micro,nome_micro,nome_municipio,codigo_ibge
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,Alta Floresta D'Oeste,110001
11,Rondônia,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,Ariquemes,110002
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,Cabixi,110003
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,Cacoal,110004
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,Cerejeiras,110005
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,Colorado do Oeste,110006
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,Corumbiara,110007
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01,Madeira-Guaporé,002,Guajará-Mirim,Costa Marques,110008
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,Espigão D'Oeste,110009
11,Rondônia,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,002,Guajará-Mirim,Guajará-Mirim,110010
11,Rondônia,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,004,Ji-Paraná,Jaru,110011
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,Ji-Paraná,110012
11,Rondônia,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,003,Ariquemes,Machadinho D'Oeste,110013
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,005,Alvorada D'Oeste,Nova Brasilândia D'Oeste,110014
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,Ouro Preto do Oeste,110015
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,007,Vilhena,Pimenta Bueno,110018
11,Rondônia,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,001,Porto Velho,Porto Velho,110020
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,Presidente Médici,110025
11,Rondônia,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,Rio Crespo,110026
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,Rolim de Moura,110028
