Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2014,3550308,São Paulo - SP,"3,122","5,31 Milhões","R$ 16,8 Bilhões","R$ 3,17 Mil","0,607","-0,025"
2014,3304557,Rio de Janeiro - RJ,"3,116","2,65 Milhões","R$ 8,47 Bilhões","R$ 3,19 Mil","0,704","0,011"
2014,3106200,Belo Horizonte - MG,"2,819","1,35 Milhão","R$ 3,87 Bilhões","R$ 2,86 Mil","0,829","0,062"
2014,5300108,Brasília - DF,"2,608","1,32 Milhão","R$ 5,58 Bilhões","R$ 4,23 Mil","0,928","0,077"
2014,4106902,Curitiba - PR,"3,274",944 Mil,"R$ 2,88 Bilhões","R$ 3,05 Mil","0,769","-0,008"
2014,2927408,Salvador - BA,"2,444",850 Mil,"R$ 2,24 Bilhões","R$ 2,63 Mil","0,849","0,091"
2014,2304400,Fortaleza - CE,"2,305",838 Mil,"R$ 1,72 Bilhão","R$ 2,05 Mil","0,798","0,116"
2014,4314902,Porto Alegre - RS,"3,018",780 Mil,"R$ 2,46 Bilhões","R$ 3,15 Mil","0,801","0,027"
2014,2611606,Recife - PE,"2,613",757 Mil,"R$ 1,91 Bilhão","R$ 2,52 Mil","0,825","0,081"
2014,5208707,Goiânia - GO,"2,056",608 Mil,"R$ 1,57 Bilhão","R$ 2,58 Mil","0,828","0,134"
2014,1302603,Manaus - AM,"3,33",550 Mil,"R$ 1,31 Bilhão","R$ 2,39 Mil","0,789","-0,013"
2014,3509502,Campinas - SP,"2,909",440 Mil,"R$ 1,31 Bilhão","R$ 2,98 Mil","0,692","0,022"
2014,1501402,Belém - PA,"2,085",424 Mil,"R$ 1,14 Bilhão","R$ 2,7 Mil","0,884","0,108"
2014,3518800,Guarulhos - SP,"3,326",357 Mil,R$ 893 Milhões,"R$ 2,5 Mil","0,673","-0,052"
2014,2111300,São Luís - MA,"2,111",354 Mil,R$ 853 Milhões,"R$ 2,41 Mil","0,889","0,101"
2014,2408102,Natal - RN,"2,307",319 Mil,R$ 778 Milhões,"R$ 2,44 Mil","0,892","0,092"
2014,2507507,João Pessoa - PB,"2,163",303 Mil,R$ 642 Milhões,"R$ 2,12 Mil","0,892","0,097"
2014,2211001,Teresina - PI,"1,962",289 Mil,R$ 614 Milhões,"R$ 2,13 Mil","0,892","0,112"
2014,4205407,Florianópolis - SC,"2,856",289 Mil,"R$ 1,1 Bilhão","R$ 3,81 Mil","0,915","0,062"
2014,3548708,São Bernardo do Campo - SP,"3,479",287 Mil,R$ 878 Milhões,"R$ 3,06 Mil","0,76","-0,036"
2014,5002704,Campo Grande - MS,"2,164",282 Mil,R$ 766 Milhões,"R$ 2,72 Mil","0,863","0,112"
