ano,popul,codigo_ibge
1991,31981,110001
1992,34768,110001
1993,37036,110001
1994,39325,110001
1995,41574,110001
1996,33471,110001
1997,25009,110001
1998,24793,110001
1999,25025,110001
2000,26533,110001
2001,26919,110001
2002,27237,110001
2003,27563,110001
2004,29001,110001
2005,28629,110001
2006,29005,110001
2007,23857,110001
2008,24577,110001
2009,24354,110001
2010,24392,110001
2011,24228,110001
2012,24069,110001
2013,25728,110001
2014,25652,110001
2015,25578,110001
2016,25506,110001
2017,25437,110001
2018,23167,110001
2019,22945,110001
2020,22728,110001
2021,22516,110001
2022,21558,110001
1991,83684,110002
1992,61737,110002
1993,65899,110002
1994,69094,110002
1995,72206,110002
1996,68503,110002
1997,70956,110002
1998,71366,110002
1999,73228,110002
2000,74503,110002
2001,76371,110002
2002,78039,110002
2003,79680,110002
2004,86901,110002
2005,85031,110002
2006,86924,110002
2007,82388,110002
2008,84581,110002
2009,85541,110002
2010,90353,110002
2011,91570,110002
2012,92747,110002
2013,101269,110002
2014,102860,110002
2015,104401,110002
2016,105896,110002
2017,107345,110002
2018,106168,110002
2019,107863,110002
2020,109523,110002
2021,111148,110002
2022,100896,110002
1991,8173,110003
1992,8633,110003
1993,9006,110003
1994,9384,110003
1995,9753,110003
1996,8263,110003
1997,7759,110003
1998,7785,110003
1999,7809,110003
2000,7518,110003
2001,7501,110003
2002,7490,110003
2003,7478,110003
2004,7421,110003
2005,7436,110003
2006,7421,110003
2007,6575,110003
2008,6777,110003
2009,6695,110003
2010,6313,110003
2011,6221,110003
2012,6132,110003
2013,6495,110003
2014,6424,110003
2015,6355,110003
2016,6289,110003
2017,6224,110003
2018,5438,110003
2019,5312,110003
2020,5188,110003
2021,5067,110003
2022,5107,110003
1991,79036,110004
1992,72462,110004
1993,74691,110004
1994,76954,110004
1995,79162,110004
1996,72922,110004
1997,73724,110004
1998,74482,110004
1999,75171,110004
2000,73568,110004
2001,73996,110004
2002,74381,110004
2003,74758,110004
2004,76417,110004
2005,75988,110004
2006,76422,110004
2007,76155,110004
2008,78263,110004
2009,78675,110004
2010,78574,110004
2011,78958,110004
2012,79330,110004
2013,85863,110004
2014,86556,110004
2015,87226,110004
2016,87877,110004
2017,88507,110004
2018,84813,110004
2019,85359,110004
2020,85893,110004
2021,86416,110004
2022,92202,110004
1991,21607,110005
1992,23280,110005
1993,24652,110005
1994,26042,110005
1995,27383,110005
1996,21157,110005
1997,19033,110005
1998,18931,110005
1999,18839,110005
2000,18207,110005
2001,18012,110005
2002,17925,110005
2003,17794,110005
2004,17217,110005
2005,17366,110005
2006,17215,110005
2007,16290,110005
2008,16784,110005
2009,16622,110005
2010,17029,110005
2011,16939,110005
2012,16852,110005
2013,18041,110005
2014,18013,110005
2015,17986,110005
2016,17959,110005
2017,17934,110005
2018,16444,110005
2019,16323,110005
2020,16204,110005
2021,16088,110005
2022,15237,110005
1991,38994,110006
1992,27830,110006
1993,28901,110006
1994,29904,110006
1995,30881,110006
1996,24955,110006
1997,24629,110006
1998,24320,110006
1999,24040,110006
2000,21892,110006
2001,21421,110006
2002,20881,110006
2003,20412,110006
2004,18349,110006
2005,18883,110006
2006,18342,110006
2007,17644,110006
2008,18216,110006
2009,17822,110006
2010,18591,110006
2011,18338,110006
2012,18093,110006
2013,19190,110006
2014,19001,110006
2015,18817,110006
2016,18639,110006
2017,18467,110006
2018,16227,110006
2019,15882,110006
2020,15544,110006
2021,15213,110006
2022,15747,110006
1992,13317,110007
1993,13825,110007
1994,14301,110007
1995,14768,110007
1996,11280,110007
1997,10264,110007
1998,10052,110007
1999,9860,110007
2000,10459,110007
2001,10290,110007
2002,10160,110007
2003,10022,110007
2004,9411,110007
2005,9569,110007
2006,9409,110007
2007,9476,110007
2008,9761,110007
2009,9680,110007
2010,8783,110007
2011,8654,110007
2012,8530,110007
2013,9036,110007
2014,8938,110007
2015,8842,110007
2016,8749,110007
2017,8659,110007
2018,7567,110007
2019,7391,110007
2020,7220,110007
2021,7052,110007
2022,7503,110007
1991,10375,110008
1992,10617,110008
1993,11616,110008
1994,12314,110008
1995,12993,110008
1996,13950,110008
1997,8524,110008
1998,10369,110008
1999,11039,110008
2000,10208,110008
2001,10679,110008
2002,9919,110008
2003,10255,110008
2004,11731,110008
2005,11349,110008
2006,11735,110008
2007,13664,110008
2008,13973,110008
2009,14452,110008
2010,13678,110008
2011,14022,110008
2012,14355,110008
2013,15853,110008
2014,16258,110008
2015,16651,110008
2016,17031,110008
2017,17400,110008
2018,17855,110008
2019,18331,110008
2020,18798,110008
2021,19255,110008
